学会タイトル,発表タイトル,発表者,発表者の所属
人工知能学会2025,[2M1-GS-10-01] BERTを用いた複数時系列データによる顧客離脱予測と要因分析,上田 雅夫,横浜市立大学
人工知能学会2025,[2M1-GS-10-02] テンソル因子分解を用いた商業施設における消費者属性・週・店舗を勘案した購買傾向の分析,水野 晴仁,横浜市立大学
人工知能学会2025,[2M1-GS-10-02] テンソル因子分解を用いた商業施設における消費者属性・週・店舗を勘案した購買傾向の分析,上田 雅夫,横浜市立大学
人工知能学会2025,[2M1-GS-10-03] 購買履歴データにおける商品の共起構造を勘案したembeddingの活用,美濃部 駿,横浜市立大学
人工知能学会2025,[2M1-GS-10-03] 購買履歴データにおける商品の共起構造を勘案したembeddingの活用,上田 雅夫,横浜市立大学
人工知能学会2025,[2M1-GS-10-04] マーケティングサイエンスにおける自然言語処理の新たな利用方法の提案,村本 遥香,横浜市立大学
人工知能学会2025,[2M1-GS-10-04] マーケティングサイエンスにおける自然言語処理の新たな利用方法の提案,上田 雅夫,横浜市立大学
人工知能学会2025,[2M1-GS-10-05] 広告クリエイティブ情報を用いた大規模行動モデルでの広告配信効果予測,川崎 愛実,株式会社NTTドコモ
人工知能学会2025,[2M1-GS-10-05] 広告クリエイティブ情報を用いた大規模行動モデルでの広告配信効果予測,中原 英里,日本電信電話株式会社
人工知能学会2025,[2M1-GS-10-05] 広告クリエイティブ情報を用いた大規模行動モデルでの広告配信効果予測,倉沢 央,日本電信電話株式会社
人工知能学会2025,[2M1-GS-10-05] 広告クリエイティブ情報を用いた大規模行動モデルでの広告配信効果予測,沖 宣宏,日本電信電話株式会社
人工知能学会2025,[2M1-GS-10-05] 広告クリエイティブ情報を用いた大規模行動モデルでの広告配信効果予測,谷口 裕紀,日本電信電話株式会社
人工知能学会2025,[2M1-GS-10-05] 広告クリエイティブ情報を用いた大規模行動モデルでの広告配信効果予測,韓 琳,日本電信電話株式会社
人工知能学会2025,[2M1-GS-10-05] 広告クリエイティブ情報を用いた大規模行動モデルでの広告配信効果予測,加藤 剛志,株式会社NTTドコモ
人工知能学会2025,[2M1-GS-10-05] 広告クリエイティブ情報を用いた大規模行動モデルでの広告配信効果予測,越智 大介,株式会社NTTドコモ
人工知能学会2025,[2O1-GS-10-01] 映像を用いた繁殖牛分娩監視のための基盤モデルの開発と運用,中田 道寛、川島 由理、中野 鐵兵、春日 良一、小川 哲司,早稲田大学、早稲田大学、（株）知能フレームワーク研究所、早稲田大学、ファーマーズサポート（株）、早稲田大学
人工知能学会2025,[2O1-GS-10-02] 路面画像と気象情報に基づく L1 正則化を活用した除雪出動予測,鎌田 理久,北海道大学 大学院情報科学院
人工知能学会2025,[2O1-GS-10-02] 路面画像と気象情報に基づく L1 正則化を活用した除雪出動予測,横山 想一郎,北海道大学 大学院情報科学研究院
人工知能学会2025,[2O1-GS-10-02] 路面画像と気象情報に基づく L1 正則化を活用した除雪出動予測,山下 倫央,北海道大学 大学院情報科学研究院
人工知能学会2025,[2O1-GS-10-02] 路面画像と気象情報に基づく L1 正則化を活用した除雪出動予測,川村 秀憲,北海道大学 大学院情報科学研究院
人工知能学会2025,[2O1-GS-10-03] 画像データの視覚情報に基づく因果推論のためのテキスト因果モデルの拡張と適用,清水 駿太,慶應義塾大学
人工知能学会2025,[2O1-GS-10-03] 画像データの視覚情報に基づく因果推論のためのテキスト因果モデルの拡張と適用,齋藤 博昭,慶應義塾大学
人工知能学会2025,[2O1-GS-10-04] 絵師の生成AI活用方法,田中 美咲,芝浦工業大学
人工知能学会2025,[2O1-GS-10-04] 絵師の生成AI活用方法,瓜生 大輔,芝浦工業大学
人工知能学会2025,[2O1-GS-10-05] MANGA109 に姿勢情報を追加したデータセットの構築による姿勢を制御した漫画キャラクター画像生成,岡田 湧路、北川 峻、渡邉 謙吾、稲葉 通将、橋本 敦史、栗原 聡,慶應義塾大学、慶應義塾大学、慶應義塾大学、電気通信大学、慶應義塾大学、オムロンサイニックエックス株式会社、慶應義塾大学
人工知能学会2025,[2A1-GS-10-01] 大規模言語モデルは人間の時間選好性を再現できるか？,吉川 克正,SB Intuitions株式会社
人工知能学会2025,[2A1-GS-10-01] 大規模言語モデルは人間の時間選好性を再現できるか？,大萩 雅也,SB Intuitions株式会社
人工知能学会2025,[2A1-GS-10-01] 大規模言語モデルは人間の時間選好性を再現できるか？,高山 隼矢,SB Intuitions株式会社
人工知能学会2025,[2A1-GS-10-02] 大規模言語モデルを活用した我が国の対北朝鮮外交実務支援システム,原田 武夫,株式会社原田武夫国際戦略情報研究所
人工知能学会2025,[2A1-GS-10-03] 状態遷移に基づく LLM を用いたゲームシナリオの生成,鈴木 智大,大阪公立大学
人工知能学会2025,[2A1-GS-10-03] 状態遷移に基づく LLM を用いたゲームシナリオの生成,森 直樹,大阪公立大学
人工知能学会2025,[2A1-GS-10-04] LLM を用いた野球選手のプレースタイルに基づく応援歌歌詞自動生成,片山 達翔,大阪府立大学
人工知能学会2025,[2A1-GS-10-04] LLM を用いた野球選手のプレースタイルに基づく応援歌歌詞自動生成,岡田 真,大阪公立大学
人工知能学会2025,[2A1-GS-10-04] LLM を用いた野球選手のプレースタイルに基づく応援歌歌詞自動生成,森 直樹,大阪公立大学
人工知能学会2025,[2A1-GS-10-05] CI/CDにおける大規模言語モデルを活用したE2Eテストプロセスの自動化,長屋 茂喜,ニューラルグループ株式会社 技術開発本部
人工知能学会2025,[2J4-GS-10-01] 交通流シミュレーションに対するデータ同化を活用したパラメータ推定の精度向上,鈴木 貴大,沖電気工業株式会社
人工知能学会2025,[2J4-GS-10-01] 交通流シミュレーションに対するデータ同化を活用したパラメータ推定の精度向上,野本 直弥,沖電気工業株式会社
人工知能学会2025,[2J4-GS-10-01] 交通流シミュレーションに対するデータ同化を活用したパラメータ推定の精度向上,奥谷 大介,沖電気工業株式会社
人工知能学会2025,[2J4-GS-10-02] 屋外環境下での視覚障害者向け進路誘導システム,上野 侑紗,慶應義塾大学理工学部
人工知能学会2025,[2J4-GS-10-02] 屋外環境下での視覚障害者向け進路誘導システム,高橋 泰平,慶應義塾大学大学院理工学研究科
人工知能学会2025,[2J4-GS-10-02] 屋外環境下での視覚障害者向け進路誘導システム,木村 眞帆,慶應義塾大学理工学部
人工知能学会2025,[2J4-GS-10-02] 屋外環境下での視覚障害者向け進路誘導システム,長岡 雄一,東京視覚障害者生活支援センター
人工知能学会2025,[2J4-GS-10-02] 屋外環境下での視覚障害者向け進路誘導システム,栗原 聡,慶應義塾大学理工学部
人工知能学会2025,[2J4-GS-10-03] 視覚障害者の移動を支援する自律移動ロボットのための状況に応じた位置決めシステムの提案,木村 眞帆,慶應義塾大学
人工知能学会2025,[2J4-GS-10-03] 視覚障害者の移動を支援する自律移動ロボットのための状況に応じた位置決めシステムの提案,高橋 泰平,慶應義塾大学
人工知能学会2025,[2J4-GS-10-03] 視覚障害者の移動を支援する自律移動ロボットのための状況に応じた位置決めシステムの提案,上野 侑紗,慶應義塾大学
人工知能学会2025,[2J4-GS-10-03] 視覚障害者の移動を支援する自律移動ロボットのための状況に応じた位置決めシステムの提案,長岡 雄一,東京視覚障害者生活支援センター
人工知能学会2025,[2J4-GS-10-03] 視覚障害者の移動を支援する自律移動ロボットのための状況に応じた位置決めシステムの提案,栗原 聡,慶應義塾大学
人工知能学会2025,[2J4-GS-10-04] 市街地環境での緊急対応から復帰までを考慮した自動運転車制御,間庭 卓也,千葉大学大学院 融合理工学府  都市環境システムコース
人工知能学会2025,[2J4-GS-10-04] 市街地環境での緊急対応から復帰までを考慮した自動運転車制御,國枝 武史,千葉大学大学院 融合理工学府  電気電子工学コース
人工知能学会2025,[2J4-GS-10-04] 市街地環境での緊急対応から復帰までを考慮した自動運転車制御,荒井 幸代,千葉大学大学院 融合理工学府  電気電子工学コース
人工知能学会2025,[2J4-GS-10-05] 走行実績データの機械学習によるEVトラックの電費推定,遠藤 颯太,茨城大学
人工知能学会2025,[2J4-GS-10-05] 走行実績データの機械学習によるEVトラックの電費推定,鈴木 智也,茨城大学
人工知能学会2025,[2I5-GS-10-01] 経路計画による管路形状生成と熱流体サロゲートモデルを用いたEV向け熱マネジメント製品の性能予測に関する研究,松村 直也,株式会社アイシン
人工知能学会2025,[2I5-GS-10-01] 経路計画による管路形状生成と熱流体サロゲートモデルを用いたEV向け熱マネジメント製品の性能予測に関する研究,木佐貫 祥一郎,株式会社アイシン
人工知能学会2025,[2I5-GS-10-01] 経路計画による管路形状生成と熱流体サロゲートモデルを用いたEV向け熱マネジメント製品の性能予測に関する研究,杉浦 卓也,株式会社アイシン
人工知能学会2025,[2I5-GS-10-02] Alpha-Q-Routing,遠藤 彬史,早稲田大学
人工知能学会2025,[2I5-GS-10-02] Alpha-Q-Routing,村田 昇,早稲田大学
人工知能学会2025,[2I5-GS-10-02] Alpha-Q-Routing,丸山 祐丞,EAGLYS株式会社
人工知能学会2025,[2I5-GS-10-02] Alpha-Q-Routing,Beierle Felix,EAGLYS株式会社
人工知能学会2025,[2I5-GS-10-03] Multi-Agent Pickup and Delivery問題における深層強化学習を用いた割込処理効率化,平山 大世,北海道大学
人工知能学会2025,[2I5-GS-10-03] Multi-Agent Pickup and Delivery問題における深層強化学習を用いた割込処理効率化,吉田 康平,株式会社豊田自動織機
人工知能学会2025,[2I5-GS-10-03] Multi-Agent Pickup and Delivery問題における深層強化学習を用いた割込処理効率化,坂地 泰紀,北海道大学
人工知能学会2025,[2I5-GS-10-03] Multi-Agent Pickup and Delivery問題における深層強化学習を用いた割込処理効率化,野田 五十樹,北海道大学
人工知能学会2025,[2I5-GS-10-04] サロゲートモデルを用いた台数絞り込みによるAI便乗サービスの配車計算効率化,高瀬 祥平,北海道大学
人工知能学会2025,[2I5-GS-10-04] サロゲートモデルを用いた台数絞り込みによるAI便乗サービスの配車計算効率化,坂地 泰紀,北海道大学
人工知能学会2025,[2I5-GS-10-04] サロゲートモデルを用いた台数絞り込みによるAI便乗サービスの配車計算効率化,野田 五十樹,北海道大学
人工知能学会2025,[2I5-GS-10-05] ラストマイル配送におけるドライバーの持つ配送単位を考慮した配送計画とその時間指定対応性に関する研究,深町 航太,東京大学大学院
人工知能学会2025,[2I5-GS-10-05] ラストマイル配送におけるドライバーの持つ配送単位を考慮した配送計画とその時間指定対応性に関する研究,小林 尚生,東京大学大学院
人工知能学会2025,[2I5-GS-10-05] ラストマイル配送におけるドライバーの持つ配送単位を考慮した配送計画とその時間指定対応性に関する研究,田中 謙司,東京大学大学院
人工知能学会2025,[2I5-GS-10-05] ラストマイル配送におけるドライバーの持つ配送単位を考慮した配送計画とその時間指定対応性に関する研究,小野 俊克,アスクル株式会社
人工知能学会2025,[2I5-GS-10-05] ラストマイル配送におけるドライバーの持つ配送単位を考慮した配送計画とその時間指定対応性に関する研究,西岡 聖太,アスクル株式会社
人工知能学会2025,[3M1-GS-10-01] U-Netおよび座標変換を用いた大きく曲がった電線ケーブルの素線追跡,星名 豊,住友電気工業株式会社
人工知能学会2025,[3M1-GS-10-01] U-Netおよび座標変換を用いた大きく曲がった電線ケーブルの素線追跡,上村 重明,住友電気工業株式会社
人工知能学会2025,[3M1-GS-10-01] U-Netおよび座標変換を用いた大きく曲がった電線ケーブルの素線追跡,中村 聡,すみでんフレンド株式会社
人工知能学会2025,[3M1-GS-10-01] U-Netおよび座標変換を用いた大きく曲がった電線ケーブルの素線追跡,飯尾 和之,すみでんフレンド株式会社
人工知能学会2025,[3M1-GS-10-02] CycleGANおよび地中レーダを用いたコンクリート構造の内部欠陥の可視化,尾田 拓海,法政大学大学院
人工知能学会2025,[3M1-GS-10-02] CycleGANおよび地中レーダを用いたコンクリート構造の内部欠陥の可視化,斎藤 久志,法政大学大学院
人工知能学会2025,[3M1-GS-10-02] CycleGANおよび地中レーダを用いたコンクリート構造の内部欠陥の可視化,山本 佳士,法政大学
人工知能学会2025,[3M1-GS-10-02] CycleGANおよび地中レーダを用いたコンクリート構造の内部欠陥の可視化,園田 潤,国立高等専門学校機構仙台高等専門学校
人工知能学会2025,[3M1-GS-10-03] アダプティブクルーズコントロールにおけるステレオカメラを用いた深層ニューラルネットワークの評価,帆井 健悟,北海道大学 大学院情報科学院
人工知能学会2025,[3M1-GS-10-03] アダプティブクルーズコントロールにおけるステレオカメラを用いた深層ニューラルネットワークの評価,横山 想一郎,北海道大学 大学院情報科学研究院
人工知能学会2025,[3M1-GS-10-03] アダプティブクルーズコントロールにおけるステレオカメラを用いた深層ニューラルネットワークの評価,山下 倫央,北海道大学 大学院情報科学研究院
人工知能学会2025,[3M1-GS-10-03] アダプティブクルーズコントロールにおけるステレオカメラを用いた深層ニューラルネットワークの評価,川村 秀憲,北海道大学 大学院情報科学研究院
人工知能学会2025,[3M1-GS-10-03] アダプティブクルーズコントロールにおけるステレオカメラを用いた深層ニューラルネットワークの評価,加太 宏明,日立Astemo株式会社
人工知能学会2025,[3M1-GS-10-03] アダプティブクルーズコントロールにおけるステレオカメラを用いた深層ニューラルネットワークの評価,柏村 聡,日立Astemo株式会社
人工知能学会2025,[3M1-GS-10-04] 物流倉庫内の未知物品に対する認識性能を向上する多様性スコアに基づいたFew-shot学習,古茂田 和馬,株式会社　東芝
人工知能学会2025,[3M1-GS-10-04] 物流倉庫内の未知物品に対する認識性能を向上する多様性スコアに基づいたFew-shot学習,姜 平,株式会社　東芝
人工知能学会2025,[3M1-GS-10-04] 物流倉庫内の未知物品に対する認識性能を向上する多様性スコアに基づいたFew-shot学習,韓 海峰,株式会社　東芝
人工知能学会2025,[3M1-GS-10-04] 物流倉庫内の未知物品に対する認識性能を向上する多様性スコアに基づいたFew-shot学習,大賀 淳一郎,株式会社　東芝
人工知能学会2025,[3M1-GS-10-05] グラフニューラルネットワークを用いた結晶構造の力学的特性予測,羽石 光,法政大学大学院
人工知能学会2025,[3M1-GS-10-05] グラフニューラルネットワークを用いた結晶構造の力学的特性予測,山本 佳士,法政大学
人工知能学会2025,[3A1-GS-10-01] LLMにおける事前推論の正答・誤答を利用したChain of Thoughtの動的補正手法,山崎 悠大,株式会社KDDI総合研究所
人工知能学会2025,[3A1-GS-10-01] LLMにおける事前推論の正答・誤答を利用したChain of Thoughtの動的補正手法,武田 直人,株式会社KDDI総合研究所
人工知能学会2025,[3A1-GS-10-01] LLMにおける事前推論の正答・誤答を利用したChain of Thoughtの動的補正手法,西村 康孝,株式会社KDDI総合研究所
人工知能学会2025,[3A1-GS-10-01] LLMにおける事前推論の正答・誤答を利用したChain of Thoughtの動的補正手法,池田 和史,株式会社KDDI総合研究所
人工知能学会2025,[3A1-GS-10-02] Automatic Psychological Counseling Classification Using BERT-Based Models and LLM-Driven Data Augmentation,Chi Zhang,The University of Tokyo
人工知能学会2025,[3A1-GS-10-02] Automatic Psychological Counseling Classification Using BERT-Based Models and LLM-Driven Data Augmentation,Ryo Sekizaki,Welcome to talk Co. Ltd.
人工知能学会2025,[3A1-GS-10-02] Automatic Psychological Counseling Classification Using BERT-Based Models and LLM-Driven Data Augmentation,Shengzhou Yi,The University of Tokyo
人工知能学会2025,[3A1-GS-10-02] Automatic Psychological Counseling Classification Using BERT-Based Models and LLM-Driven Data Augmentation,Toshihiko Yamasaki,The University of Tokyo
人工知能学会2025,[3A1-GS-10-03] LLMマルチエージェントシステムにおけるエージェント評価手法に関する研究,田中 孝明,株式会社博報堂テクノロジーズ
人工知能学会2025,[3A1-GS-10-03] LLMマルチエージェントシステムにおけるエージェント評価手法に関する研究,大坪 舜,株式会社NTTデータ数理システム
人工知能学会2025,[3A1-GS-10-03] LLMマルチエージェントシステムにおけるエージェント評価手法に関する研究,林 祐輝,株式会社NTTデータ数理システム
人工知能学会2025,[3A1-GS-10-03] LLMマルチエージェントシステムにおけるエージェント評価手法に関する研究,伊藤 孝太郎,株式会社NTTデータ数理システム
人工知能学会2025,[3A1-GS-10-03] LLMマルチエージェントシステムにおけるエージェント評価手法に関する研究,畠山 卓也,株式会社博報堂テクノロジーズ
人工知能学会2025,[3A1-GS-10-03] LLMマルチエージェントシステムにおけるエージェント評価手法に関する研究,吉田 隆史,株式会社博報堂テクノロジーズ
人工知能学会2025,[3A1-GS-10-03] LLMマルチエージェントシステムにおけるエージェント評価手法に関する研究,石川 信行,株式会社博報堂テクノロジーズ
人工知能学会2025,[3A1-GS-10-04] LLMエージェントによるエルファロル・バー問題の解析,高田 亮介,東京大学
人工知能学会2025,[3A1-GS-10-04] LLMエージェントによるエルファロル・バー問題の解析,升森 敦士,東京大学
人工知能学会2025,[3A1-GS-10-04] LLMエージェントによるエルファロル・バー問題の解析,池上 高志,東京大学
人工知能学会2025,[3A1-GS-10-05] 空間データにおける異種混合グラフのための同変なGNNの提案,山本 大志,京都大学
人工知能学会2025,[3A1-GS-10-05] 空間データにおける異種混合グラフのための同変なGNNの提案,兒玉 庸平,西日本旅客鉄道株式会社 デジタルソリューション本部
人工知能学会2025,[3A1-GS-10-05] 空間データにおける異種混合グラフのための同変なGNNの提案,朱山 裕宜,西日本旅客鉄道株式会社 デジタルソリューション本部
人工知能学会2025,[3A1-GS-10-05] 空間データにおける異種混合グラフのための同変なGNNの提案,新 恭兵,京都大学
人工知能学会2025,[3A1-GS-10-05] 空間データにおける異種混合グラフのための同変なGNNの提案,鹿島 久嗣,京都大学
人工知能学会2025,[3A1-GS-10-05] 空間データにおける異種混合グラフのための同変なGNNの提案,竹内 孝,京都大学
人工知能学会2025,[3L1-GS-10-01] EHRs-CDSSs間の落とし穴を埋める,宮地 康彦、石井 修、鳥越 恵治郎,臨床推論実用化研究会、臨床推論実用化研究会、医療法人 恵真会 鳥越医院、臨床推論実用化研究会
人工知能学会2025,[3L1-GS-10-02] 胎児不整脈診断支援システムにおける判定精度向上手法の検討,松﨑 弘樹,カナデビア株式会社
人工知能学会2025,[3L1-GS-10-02] 胎児不整脈診断支援システムにおける判定精度向上手法の検討,伊藤 諒,カナデビア株式会社
人工知能学会2025,[3L1-GS-10-02] 胎児不整脈診断支援システムにおける判定精度向上手法の検討,アハマド ファウジアリフ,カナデビア株式会社
人工知能学会2025,[3L1-GS-10-02] 胎児不整脈診断支援システムにおける判定精度向上手法の検討,藤丸 雅弘,カナデビア株式会社
人工知能学会2025,[3L1-GS-10-02] 胎児不整脈診断支援システムにおける判定精度向上手法の検討,横林 孝康,カナデビア株式会社
人工知能学会2025,[3L1-GS-10-02] 胎児不整脈診断支援システムにおける判定精度向上手法の検討,三宅 寿英,カナデビア株式会社
人工知能学会2025,[3L1-GS-10-02] 胎児不整脈診断支援システムにおける判定精度向上手法の検討,柿ヶ野 藍子,国立循環器病研究センター
人工知能学会2025,[3L1-GS-10-02] 胎児不整脈診断支援システムにおける判定精度向上手法の検討,吉松 淳,国立循環器病研究センター
人工知能学会2025,[3L1-GS-10-03] リカレンスプロットの定量化解析による心房細動の検出,荒木 鷹飛,香川大学
人工知能学会2025,[3L1-GS-10-03] リカレンスプロットの定量化解析による心房細動の検出,北島 博之,香川大学
人工知能学会2025,[3L1-GS-10-04] CNNを用いた心電図からの心房細動の検出,岩崎 翔太,香川大学
人工知能学会2025,[3L1-GS-10-04] CNNを用いた心電図からの心房細動の検出,北島 博之,香川大学
人工知能学会2025,[3L1-GS-10-05] 子宮鏡画像におけるドメインシフトに堅牢なマルチモーダル深層学習モデルの提案,柿山 宇徳,法政大学
人工知能学会2025,[3L1-GS-10-05] 子宮鏡画像におけるドメインシフトに堅牢なマルチモーダル深層学習モデルの提案,辺見 一成,法政大学
人工知能学会2025,[3L1-GS-10-05] 子宮鏡画像におけるドメインシフトに堅牢なマルチモーダル深層学習モデルの提案,宮田 康平,福岡大学
人工知能学会2025,[3L1-GS-10-05] 子宮鏡画像におけるドメインシフトに堅牢なマルチモーダル深層学習モデルの提案,井上 善仁,井上善レディースクリニック
人工知能学会2025,[3L1-GS-10-05] 子宮鏡画像におけるドメインシフトに堅牢なマルチモーダル深層学習モデルの提案,鍋田 基生,つばきウイメンズクリニック
人工知能学会2025,[3L1-GS-10-05] 子宮鏡画像におけるドメインシフトに堅牢なマルチモーダル深層学習モデルの提案,四元 房典,福岡大学
人工知能学会2025,[3L1-GS-10-05] 子宮鏡画像におけるドメインシフトに堅牢なマルチモーダル深層学習モデルの提案,柴田 千尋,法政大学
人工知能学会2025,[3E1-GS-10-01] 観測光度曲線を用いたTransformerベースの宇宙デブリ分類器,綿 祐貴、上田 亮、宮尾 祐介,東京大学、東京大学、東京大学、国立情報学研究所 大規模言語モデル研究開発センター
人工知能学会2025,[3E1-GS-10-02] 自動車部品特性最適化における機構解析とLSTMの活用,近末 竜,マツダ株式会社
人工知能学会2025,[3E1-GS-10-02] 自動車部品特性最適化における機構解析とLSTMの活用,Gonzalez Flores Roberto,マツダ株式会社
人工知能学会2025,[3E1-GS-10-02] 自動車部品特性最適化における機構解析とLSTMの活用,森田 聖惇,マツダ株式会社
人工知能学会2025,[3E1-GS-10-02] 自動車部品特性最適化における機構解析とLSTMの活用,田中 和宏,マツダ株式会社
人工知能学会2025,[3E1-GS-10-02] 自動車部品特性最適化における機構解析とLSTMの活用,工藤 健志,マツダ株式会社
人工知能学会2025,[3E1-GS-10-03] マルチモーダル時系列情報の教師なし分節化に基づく作業行動分析,近藤 空哉、齋藤 一誠、長野 匡隼、神谷 聡、藤田 渉、八田 俊之、中村 友昭,電気通信大学、電気通信大学、電気通信大学、三菱電機株式会社 先端技術総合研究所、三菱電機株式会社 先端技術総合研究所、電気通信大学、三菱電機株式会社 先端技術総合研究所、電気通信大学
人工知能学会2025,[3E1-GS-10-04] Transformer を用いたアイテム間の相互影響を考慮したレコメンドリスト生成,池田 柳之介,株式会社リクルート
人工知能学会2025,[3E1-GS-10-04] Transformer を用いたアイテム間の相互影響を考慮したレコメンドリスト生成,濱田 賢吾,株式会社リクルート
人工知能学会2025,[3E1-GS-10-04] Transformer を用いたアイテム間の相互影響を考慮したレコメンドリスト生成,高橋 諒,株式会社リクルート
人工知能学会2025,[3E1-GS-10-05] 行動クローニングによるプラントの自動運転およびその補正方法,片島 健博,NTTコミュニケーションズ株式会社
人工知能学会2025,[3E1-GS-10-05] 行動クローニングによるプラントの自動運転およびその補正方法,水野 貴志,NTTコミュニケーションズ株式会社
人工知能学会2025,[3E1-GS-10-05] 行動クローニングによるプラントの自動運転およびその補正方法,泉谷 知範,NTTコミュニケーションズ株式会社
人工知能学会2025,[3E1-GS-10-05] 行動クローニングによるプラントの自動運転およびその補正方法,藤原 大悟,NTTコミュニケーションズ株式会社
人工知能学会2025,[3F1-GS-10-01] アートディレクターのアイデア発想プロセスを用いたLLMのFine-tuning手法の提案および評価実験,新納 大輔,株式会社電通
人工知能学会2025,[3F1-GS-10-01] アートディレクターのアイデア発想プロセスを用いたLLMのFine-tuning手法の提案および評価実験,並河 進,株式会社電通
人工知能学会2025,[3F1-GS-10-01] アートディレクターのアイデア発想プロセスを用いたLLMのFine-tuning手法の提案および評価実験,松下 仁美,株式会社電通
人工知能学会2025,[3F1-GS-10-01] アートディレクターのアイデア発想プロセスを用いたLLMのFine-tuning手法の提案および評価実験,阿部  由吾,東京大学 AIセンター
人工知能学会2025,[3F1-GS-10-03] 生成AIを活用した住戸設計支援ツールの構築,陳 文京,日本大学大学院経済学研究科
人工知能学会2025,[3F1-GS-10-04] 生成AI支援下での工学設計における発散的思考の脳内メカニズムの解明,三上 玄,東京大学
人工知能学会2025,[3F1-GS-10-04] 生成AI支援下での工学設計における発散的思考の脳内メカニズムの解明,佐藤 洸誓,東京大学
人工知能学会2025,[3F1-GS-10-04] 生成AI支援下での工学設計における発散的思考の脳内メカニズムの解明,小泉 光司,東京大学
人工知能学会2025,[3F1-GS-10-04] 生成AI支援下での工学設計における発散的思考の脳内メカニズムの解明,上田 一貴,東京大学
人工知能学会2025,[3F1-GS-10-04] 生成AI支援下での工学設計における発散的思考の脳内メカニズムの解明,長藤 圭介,東京大学
人工知能学会2025,[3F1-GS-10-04] 生成AI支援下での工学設計における発散的思考の脳内メカニズムの解明,横山 悠久,（株）リコー
人工知能学会2025,[3F1-GS-10-05] 生成AIを活用したインフラ管理スクリプトの生成とクラウドに慣れたユーザでも使える提供方式の提案,渡邉 創一,(株)日立製作所
人工知能学会2025,[3F1-GS-10-05] 生成AIを活用したインフラ管理スクリプトの生成とクラウドに慣れたユーザでも使える提供方式の提案,松沢 敬一,(株)日立製作所
人工知能学会2025,[3F1-GS-10-05] 生成AIを活用したインフラ管理スクリプトの生成とクラウドに慣れたユーザでも使える提供方式の提案,早坂 光雄,(株)日立製作所
人工知能学会2025,[3A6-GS-10-01] Template-based Code Genrationを用いた大規模言語モデルによる自動プログラミングの高速化,菊田 大輔,日本電信電話
人工知能学会2025,[3A6-GS-10-02] 生命保険業務データによるマルチモーダルLLMの性能評価,清水 玉緒,第一生命テクノクロス株式会社
人工知能学会2025,[3A6-GS-10-02] 生命保険業務データによるマルチモーダルLLMの性能評価,坂内 響,第一生命テクノクロス株式会社
人工知能学会2025,[3A6-GS-10-02] 生命保険業務データによるマルチモーダルLLMの性能評価,大西 啓晃,第一生命テクノクロス株式会社
人工知能学会2025,[3A6-GS-10-03] ChatGPTを用いた個人書籍管理システムの提案,高橋 佳乃子,TSUMAnotation
人工知能学会2025,[3A6-GS-10-03] ChatGPTを用いた個人書籍管理システムの提案,高橋 悠太,八千代エンジニヤリング株式会社
人工知能学会2025,[3A6-GS-10-04] ChatGPTを用いたチャットボットの性格カスタマイズ,小谷 空舞,滋賀県立大学大学院
人工知能学会2025,[3A6-GS-10-04] ChatGPTを用いたチャットボットの性格カスタマイズ,砂山 渡,滋賀県立大学
人工知能学会2025,[3A6-GS-10-04] ChatGPTを用いたチャットボットの性格カスタマイズ,服部 峻,滋賀県立大学
人工知能学会2025,[3A6-GS-10-05] ChatGPTを用いた問題解決を目指さない愚痴聞きチャットボット,石本 鈴蘭,滋賀県立大学大学院工学研究科
人工知能学会2025,[3A6-GS-10-05] ChatGPTを用いた問題解決を目指さない愚痴聞きチャットボット,砂山 渡,滋賀県立大学工学部
人工知能学会2025,[3A6-GS-10-05] ChatGPTを用いた問題解決を目指さない愚痴聞きチャットボット,服部 峻,滋賀県立大学工学部
人工知能学会2025,[3E6-GS-10-01] モバイル決済アプリ市場の成熟化に伴う品質要因の解明,髙阪 崇久,東日本電信電話株式会社
人工知能学会2025,[3E6-GS-10-01] モバイル決済アプリ市場の成熟化に伴う品質要因の解明,田代 慧,DATUM STUDIO 株式会社
人工知能学会2025,[3E6-GS-10-01] モバイル決済アプリ市場の成熟化に伴う品質要因の解明,中野 暁,明治学院大学
人工知能学会2025,[3E6-GS-10-02] Eコマース検索結果におけるクエリに応じたサムネイル最適化に関する実験的研究,伊澤 遼平,株式会社ZOZO
人工知能学会2025,[3E6-GS-10-02] Eコマース検索結果におけるクエリに応じたサムネイル最適化に関する実験的研究,吉本 一平,株式会社ZOZO
人工知能学会2025,[3E6-GS-10-02] Eコマース検索結果におけるクエリに応じたサムネイル最適化に関する実験的研究,広渡 朱莉,株式会社ZOZO
人工知能学会2025,[3E6-GS-10-02] Eコマース検索結果におけるクエリに応じたサムネイル最適化に関する実験的研究,清水 良太郎,ZOZO研究所
人工知能学会2025,[3E6-GS-10-02] Eコマース検索結果におけるクエリに応じたサムネイル最適化に関する実験的研究,斎藤 侑輝,ZOZO研究所
人工知能学会2025,[3E6-GS-10-02] Eコマース検索結果におけるクエリに応じたサムネイル最適化に関する実験的研究,和田 崇史,ZOZO研究所
人工知能学会2025,[3E6-GS-10-03] オンライン旅行代理店におけるユーザー単位の宿泊予約予測,安田 大起,京都大学
人工知能学会2025,[3E6-GS-10-03] オンライン旅行代理店におけるユーザー単位の宿泊予約予測,新 恭兵,京都大学
